Designator,Mid X,Mid Y,Rotation,Layer
R24,92.63,-113.53,180.0,top
R25,92.645,-115.07,180.0,top
R26,40.415,-81.39,0.0,top
R27,98.32,-111.81,90.0,top
R28,40.415,-83.9,0.0,top
R29,40.415,-86.41,0.0,top
R3,36.405,-88.92,0.0,top
R30,40.415,-88.92,0.0,top
R31,97.475,-73.895,270.0,top
R32,101.34,-70.495,0.0,top
R33,101.35,-68.935,0.0,top
R34,98.185,-70.095,0.0,top
R35,98.185,-68.545,0.0,top
R36,98.165,-71.625,0.0,top
R37,96.79,-111.75,90.0,top
R38,95.23,-111.75,270.0,top
R39,87.28,-102.1485,0.0,top
R4,36.405,-91.43,0.0,top
R40,135.475,-38.4625,180.0,top
R41,132.425,-38.4625,180.0,top
R42,130.125,-42.7375,90.0,top
R43,130.125,-39.7375,90.0,top
R44,101.759348,-46.2125,270.0,top
R45,100.219348,-46.2125,90.0,top
R46,98.849348,-42.4375,90.0,top
R47,100.199348,-49.3025,90.0,top
R48,98.9325,-23.65,180.0,top
R49,103.1375,-21.46,0.0,top
R5,36.405,-93.94,0.0,top
R50,104.4275,-27.53,180.0,top
R52,87.305,-103.6785,0.0,top
R53,87.275,-100.6185,0.0,top
R54,91.17,-89.99,90.0,top
R55,106.73,-89.61,0.0,top
R56,114.48,-81.08,0.0,top
R58,116.3575,-109.915,90.0,top
R59,116.3775,-97.16,90.0,top
R6,36.405,-96.45,0.0,top
R60,116.4375,-84.25,90.0,top
R61,116.4925,-52.78,90.0,top
R62,80.99,-73.595,0.0,top
R63,83.86,-88.445,90.0,top
R64,83.79,-96.945,90.0,top
R65,83.77,-105.77,90.0,top
R66,83.79,-79.665,90.0,top
R67,83.7,-70.78,90.0,top
R68,81.145,-91.105,0.0,top
R69,81.075,-99.815,0.0,top
R7,40.415,-78.88,0.0,top
R70,81.04,-108.595,0.0,top
R71,81.04,-82.455,0.0,top
R72,87.365,-38.8,0.0,top
R78,119.0825,-107.73,180.0,top
R79,118.1275,-113.945,90.0,top
R8,100.585,-80.69,90.0,top
R80,119.1425,-94.79,180.0,top
R81,118.3275,-101.07,90.0,top
R82,119.1775,-81.93,180.0,top
R83,118.3775,-88.15,90.0,top
R84,116.915,-50.8,0.0,bottom
R85,118.4425,-56.935,90.0,top
R86,110.895,-24.175,180.0,top
R87,80.065,-17.02,0.0,top
R88,80.04,-18.54,0.0,top
R89,80.05,-20.05,0.0,top
R9,99.045,-80.725,90.0,top
R90,80.145,-24.73,0.0,top
R91,80.095,-23.2,0.0,top
R92,80.075,-21.66,0.0,top
R93,80.135,-29.33,0.0,top
R94,80.13,-27.79,0.0,top
R95,80.145,-26.26,0.0,top
R96,115.31,-21.235,0.0,top
R97,116.935,-27.365,180.0,top
U1,100.77,-53.575,45.0,bottom
U10,97.97,-112.1475,270.0,bottom
U11,113.6,-99.85,180.0,bottom
U12,84.1,-93.55,90.0,bottom
U13,104.819348,-38.085,90.0,top
U14,133.525,-41.9625,90.0,top
U15,97.659348,-46.81,90.0,top
U2,100.4925,-75.01,90.0,bottom
U3,88.27,-66.075,315.0,bottom
U4,113.27,-66.075,315.0,bottom
U5,88.095,-100.266,270.0,bottom
U6,97.1,-100.25,180.0,bottom
U7,92.06,-81.4575,90.0,bottom
U8,92.84,-89.06,270.0,bottom
U9,104.311848,-45.8075,270.0,top
Y1,98.38,-58.7,135.0,top
Y2,104.895,-72.605,90.0,top
Y4,97.375,-83.9625,180.0,bottom
